# H(298.15)-H(0) for elements in reference states (kJ/mol)
Element	ddH298	Source
Cl2	9.181	JANAF4
F2	8.825	JANAF4
H2	8.467	JANAF4
N2	8.670	JANAF4
O2	8.683	JANAF4
S	4.412	JANAF4
C	1.051	JANAF4
P	5.360	JANAF4
